ID,Eddington ratio,M_BH,sigma_* (km/s)
624,   4.8900800e-07,175341.0,41.94697309843748
625,   2.3727378e-06,308533.0,47.92722291019197
626,   4.8767040e-06,4303.0,17.49674248320193
627,   5.5773026e-07,130035.0,39.091464802118445
628,   1.5088049e-07,113034.0,37.820760228432356
629,   6.0297920e-06,186320.0,42.552137572289375
630,   2.8017859e-11,220505.0,44.276762155472774
631,   0.00012161994,294473.0,47.40289580828744
632,   2.5507533e-06,73611.8,34.18224776046275
633,   6.9435994e-07,32860.9,28.261176944358912
634,   3.2017240e-05,157112.0,40.874902603524994
635,   2.6064079e-07,2861.39,15.891543958120147
636,   1.2530905e-05,175322.0,41.94590102910165
637,   1.4657900e-06,76227.0,34.464851958541146
638,   1.1083291e-05,83104.9,35.17425889824562
639,   1.7094858e-07,21471.6,25.562409629566176
640,       0.0000000,143389.0,40.00322927474828
641,   5.5259418e-06,420295.0,51.552011356675244
642,   7.4856372e-06,63120.6,32.964878991874905
643,   7.4708271e-07,100005.0,36.74396851970145
644,   9.3412860e-12,174145.0,41.87931537528562
645,   6.8782511e-06,107425.0,37.36948471414243
646,   5.8475867e-06,182544.0,42.34715437969
647,   8.0972711e-08,155086.0,40.74997116289469
648,   2.1742211e-05,167542.0,41.499255088076396
649,   0.00027407290,243569.0,45.327876730227665
650,   7.4618158e-11,271444.0,46.5011845502482
651,   1.8314103e-06,73067.6,34.122478732261456
652,   8.1508935e-07,133154.0,39.31060827086967
653,   1.1978161e-06,571438.0,55.42572609336307
654,   4.2566676e-07,1428.74,13.49051076295874
655,   1.1854622e-05,309187.0,47.95116384478806
656,   3.6145562e-05,208440.0,43.69304601955359
657,   1.2985915e-05,137638.0,39.61888498565377
658,   3.7205028e-06,220272.0,44.26572332949653
659,   4.8616659e-06,25928.3,26.72514684297263
660,            -NaN,0.0,0.0
661,   3.1869570e-06,136753.0,39.55865524689401
662,   3.2670881e-05,187464.0,42.61361358935305
663,   4.3501613e-08,4286.07,17.4804820977615
664,   3.4083514e-06,82900.0,35.15378578231512
665,   2.1237598e-05,221662.0,44.33144562528065
666,            -NaN,0.0,0.0
667,   5.1711303e-09,10005.0,21.349272651372196
668,   8.0739038e-07,86768.1,35.53392847841571
669,   5.0815275e-07,26115.6,26.770553835505563
670,   9.1177909e-07,208652.0,43.7035229138648
671,   2.2648149e-05,69660.4,33.74033006596751
672,   4.6783580e-07,125346.0,38.754327326977865
673,   9.3951010e-06,27173.5,27.022449128528464
674,   1.0510068e-06,38959.4,29.418953970682686
675,   1.8774000e-06,288325.0,47.167596411656284
676,   6.2526555e-06,190442.0,42.772310994208226
677,   2.9253081e-07,45839.7,30.569274329366014
678,   0.00066215439,95570.3,36.35298901444722
679,   2.5222453e-07,67514.0,33.49219699833728
680,   1.5665291e-05,40582.8,29.703578332361815
681,   2.3698009e-05,99372.6,36.68903438293315
682,   7.1546279e-06,166396.0,41.43213176369492
683,   2.6419363e-06,159221.0,41.00365118806834
684,   5.7339974e-11,216086.0,44.065866472411685
685,   1.1902428e-05,206945.0,43.61893204148945
686,   4.8192318e-10,136214.0,39.521826867943076
687,   3.1311748e-11,393917.0,50.769931968895335
688,   0.00016585340,303214.0,47.73105625591215
689,   8.1694421e-07,58639.6,32.39731398049657
690,   1.8471939e-05,161729.0,41.15507226360043
691,   1.0575338e-06,5714.36,18.70737790751192
692,   2.1887878e-06,68649.2,33.62416988573988
693,   6.7600105e-06,186937.0,42.58532949764529
694,   1.8161503e-06,30251.2,27.71498020580631
695,            -NaN,0.0,0.0
696,   3.7212344e-06,341093.0,49.074794291896914
697,   1.5338307e-05,92032.1,36.03097916499505
698,   0.00080726040,530820.0,54.4702126292018
699,   1.1108065e-05,200114.0,43.274987075574806
700,   8.6397476e-05,95216.7,36.32122185265117
701,   5.2885001e-07,80190.3,34.87933249884429
702,   3.2084345e-06,154759.0,40.729690283992916
703,   1.8237980e-05,148951.0,40.363894946729694
704,   8.9028770e-08,218899.0,44.2004929634917
705,   9.2423193e-07,52860.7,31.614192766356148
706,   2.8712138e-05,146023.0,40.17533804275896
707,            -NaN,0.0,0.0
708,   0.00054943044,499746.0,53.70074472484186
709,   0.00012236770,332857.0,48.792708165538194
710,   4.0906330e-05,161999.0,41.171266353262126
711,   5.9394727e-07,84550.9,35.3176536703043
712,   5.4802209e-08,214722.0,44.000104587467526
713,   1.3638225e-05,133795.0,39.35515855142255
714,   1.2732014e-06,207124.0,43.62782740678882
715,   2.1156600e-05,428252.0,51.78054850778082
716,   5.7810770e-11,272214.0,46.53226150587517
717,   8.4131261e-05,170067.0,41.645919994623945
718,   1.8094098e-11,88709.3,35.71984064349405
719,   2.6677406e-07,128737.0,38.999081505780154
720,   8.1159128e-08,113835.0,37.88380008965627
721,            -NaN,0.0,0.0
722,   2.1891476e-05,291524.0,47.29050347361967
723,   3.8599056e-11,295867.0,47.45572479412021
724,   2.1735734e-07,28593.3,27.34899568180891
725,   2.9623841e-06,180005.0,42.207493644495656
726,   4.9691326e-06,130564.0,39.12891357112072
727,   6.0388412e-07,40034.9,29.608505914163047
728,   3.5230032e-07,75736.6,34.4124288887381
729,   4.5336709e-07,22874.8,25.946929031257888
730,   5.1722943e-07,53199.9,31.66192119157314
731,   5.9257817e-07,235681.0,44.977295557905975
732,   2.0703751e-05,164169.0,41.3006754476896
733,   6.0588541e-10,439501.0,52.09816384809701
734,   0.00018568767,102248.0,36.936693842270316
735,   1.7085952e-06,205784.0,43.56109321801135
736,   3.1197119e-06,2862.0,15.89234290452302
737,   9.0931071e-07,126913.0,38.86805042642893
